Dracula|Bram Stoker
The Hitchhiker's Guide to the Galaxy|Douglas Adams
The Alchemist|Paulo Coelho
The Shining|Stephen King
1984|George Orwell
The Hobbit|J.R.R. Tolkien
War and Peace|Leo Tolstoy
Crime and Punishment|Fyodor Dostoevsky
Frankenstein|Mary Shelley
Moby-Dick|Herman Melville
The Picture of Dorian Gray|Oscar Wilde
Fahrenheit 451|Ray Bradbury
The Great Gatsby|F. Scott Fitzgerald
Brave New World|Aldous Huxley
The Chronicles of Narnia|C.S. Lewis
The Book Thief|Markus Zusak
The Lord of the Rings|J.R.R. Tolkien
To Kill a Mockingbird|Harper Lee
Pride and Prejudice|Jane Austen
The Catcher in the Rye|J.D. Salinger
